department,station,address
전북소방본부,임실소방서,전북특별자치도 임실군 임실읍 감천로 33
전북소방본부,장수소방서,전북특별자치도 장수군 장수읍 호비로 42
전북소방본부,전주완산소방서,전북특별자치도 전주시 완산구 거마평로 73
전북소방본부,정읍소방서,전북특별자치도 정읍시 서부산업도로 507-5
전북소방본부,진안소방서,전북특별자치도 진안군 진안읍 쇠징계로 9
충남소방본부,계룡소방서,충청남도 계룡시 엄사면 문화로32
충남소방본부,공주소방서,충청남도 공주시 무령로 55
충남소방본부,금산소방서,충청남도 금산군 금산읍 삼풍로 2
충남소방본부,논산소방서,충청남도 논산시 내동 499
충남소방본부,당진소방서,충청남도 당진시 역천로 838
충남소방본부,보령소방서, 충청남도 보령시 성주산로 63
충남소방본부,부여소방서,충청남도 부여군 규암면 계백로 17
충남소방본부,서산소방서,충청남도 서산시 예천동 496-16
충남소방본부,서천소방서,충청남도 서천군 장항읍 장항로 37
충남소방본부,아산소방서,충청남도 아산시 모종로 77
충남소방본부,예산소방서,충청남도 예산군 오가면 오가중앙로 111
충남소방본부,천안동남소방서,충청남도 천안시 동남구 천안대로 580
충남소방본부,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단2길 32
충남소방본부,청양소방서,충청남도 청양군 청양읍 송방리 348
충남소방본부,태안소방서,충청남도 태안군 태안읍 동백로 100
충남소방본부,홍성소방서,충청남도 홍성군 홍성읍 충절로 741
충북소방본부,괴산소방서,충청북도 괴산군 괴산읍 괴강로 69
충북소방본부,단양소방서,충청북도 단양군 단양읍 삼봉로 421-56
충북소방본부,보은소방서,충청북도 보은군 보은읍 남부로 4115
충북소방본부,영동소방서,충청북도 영동군 영동읍 영동황간로 174
충북소방본부,옥천소방서,충청북도 옥천군 옥천읍 동부로 15
충북소방본부,음성소방서,충청북도 음성군 금왕읍 응천서길 11
충북소방본부,제천소방서,충청북도 제천시 신죽하로 164
충북소방본부,증평소방서,충청북도 증평군 증평읍 충청대로 1789
충북소방본부,진천소방서,충청북도 진천군 진천읍 진광로 93
충북소방본부,청주동부소방서,충청북도 청주시 상당구 영운로 61
충북소방본부,청주서부소방서,충청북도 청주시 흥덕구 가경로 143
충북소방본부,충주소방서,충청북도 충주시 목행산단7로 9
제주소방안전본부,제주동부소방서,제주특별자치도 서귀포시 성산읍 일주동로4120번길 7
제주소방안전본부,제주서귀포소방서,제주특별자치도 서귀포시 서호남로 20(법환동)
제주소방안전본부,제주서부소방서,제주특별자치도 제주시 한림읍 한림중앙로 150
제주소방안전본부,제주소방서,제주특별자치도 제주시 중앙로 342 제주소방서
